Id,Prediction
0,neutral
1,negative
2,neutral
3,negative
4,positive
5,negative
6,negative
7,negative
8,neutral
9,positive
10,negative
11,negative
12,neutral
13,positive
14,neutral
15,positive
16,negative
17,neutral
18,negative
19,negative
20,neutral
21,neutral
22,neutral
23,negative
24,negative
25,negative
26,positive
27,positive
28,positive
29,negative
30,negative
31,negative
32,negative
33,neutral
34,negative
35,neutral
36,neutral
37,negative
38,neutral
39,negative
40,neutral
41,neutral
42,negative
43,positive
44,neutral
45,negative
46,negative
47,neutral
48,negative
49,neutral
50,negative
51,neutral
52,negative
53,neutral
54,negative
55,neutral
56,neutral
57,negative
58,negative
59,negative
60,negative
61,negative
62,negative
63,negative
64,negative
65,negative
66,negative
67,positive
68,negative
69,negative
70,negative
71,positive
72,negative
73,negative
74,negative
75,negative
76,negative
77,negative
78,negative
79,positive
80,negative
81,negative
82,negative
83,negative
84,positive
85,negative
86,negative
87,negative
88,negative
89,negative
90,negative
91,negative
92,negative
93,negative
94,negative
95,negative
96,neutral
97,neutral
98,neutral
99,negative
100,negative
101,negative
102,negative
103,neutral
104,negative
105,negative
106,neutral
107,negative
108,negative
109,negative
110,negative
111,negative
112,positive
113,negative
114,negative
115,positive
116,negative
117,negative
118,neutral
119,negative
120,negative
121,negative
122,positive
123,positive
124,negative
125,neutral
126,negative
127,neutral
128,negative
129,positive
130,negative
131,negative
132,negative
133,negative
134,neutral
135,negative
136,negative
137,negative
138,negative
139,negative
140,negative
141,negative
142,negative
143,negative
144,negative
145,negative
146,positive
147,negative
148,neutral
149,negative
150,negative
151,negative
152,neutral
153,negative
154,negative
155,negative
156,negative
157,neutral
158,positive
159,negative
160,negative
161,negative
162,negative
163,negative
164,negative
165,negative
166,positive
167,negative
168,negative
169,negative
170,negative
171,negative
172,negative
173,negative
174,negative
175,negative
176,positive
177,negative
178,negative
179,negative
180,negative
181,neutral
182,neutral
183,negative
184,negative
185,neutral
186,neutral
187,negative
188,negative
189,negative
190,negative
191,neutral
192,negative
193,positive
194,negative
195,positive
196,negative
197,negative
198,negative
199,negative
200,negative
201,neutral
202,negative
203,negative
204,negative
205,negative
206,positive
207,negative
208,negative
209,negative
210,negative
211,negative
212,negative
213,negative
214,negative
215,negative
216,negative
217,positive
218,neutral
219,negative
220,negative
221,positive
222,negative
223,positive
224,neutral
225,negative
226,negative
227,negative
228,negative
229,negative
230,negative
231,negative
232,negative
233,negative
234,negative
235,neutral
236,positive
237,positive
238,negative
239,negative
240,neutral
241,positive
242,positive
243,negative
244,neutral
245,negative
246,negative
247,negative
248,positive
249,negative
250,negative
251,negative
252,negative
253,negative
254,positive
255,negative
256,negative
257,negative
258,negative
259,negative
260,neutral
261,negative
262,negative
263,positive
264,negative
265,negative
266,negative
267,negative
268,negative
269,negative
270,negative
271,negative
272,positive
273,negative
274,negative
275,negative
276,positive
277,neutral
278,negative
279,negative
280,neutral
281,neutral
282,positive
283,negative
284,negative
285,positive
286,negative
287,positive
288,negative
289,positive
290,negative
291,negative
292,neutral
293,neutral
294,neutral
295,neutral
296,negative
297,negative
298,negative
299,negative
300,negative
301,negative
302,neutral
303,negative
304,negative
305,negative
306,negative
307,negative
308,negative
309,negative
310,negative
311,neutral
312,neutral
313,negative
314,negative
315,neutral
316,negative
317,negative
318,negative
319,neutral
320,negative
321,neutral
322,negative
323,negative
324,neutral
325,negative
326,negative
327,negative
328,neutral
329,neutral
330,neutral
331,negative
332,positive
333,negative
334,negative
335,neutral
336,negative
337,negative
338,negative
339,negative
340,negative
341,negative
342,negative
343,positive
344,neutral
345,negative
346,negative
347,positive
348,neutral
349,negative
350,negative
351,negative
352,negative
353,negative
354,positive
355,neutral
356,negative
357,negative
358,negative
359,negative
360,negative
361,negative
362,negative
363,neutral
364,negative
365,negative
366,neutral
367,neutral
368,negative
369,negative
370,negative
371,neutral
372,neutral
373,negative
374,negative
375,neutral
376,negative
377,positive
378,negative
379,neutral
380,negative
381,negative
382,negative
383,negative
384,negative
385,negative
386,positive
387,negative
388,negative
389,neutral
390,negative
391,negative
392,negative
393,neutral
394,positive
395,negative
396,negative
397,negative
398,negative
399,positive
400,negative
401,negative
402,negative
403,negative
404,negative
405,positive
406,negative
407,positive
408,negative
409,neutral
410,negative
411,neutral
412,negative
413,negative
414,neutral
415,positive
416,negative
417,negative
418,negative
419,negative
420,negative
421,negative
422,neutral
423,negative
424,negative
425,neutral
426,negative
427,positive
428,negative
429,neutral
430,negative
431,negative
432,negative
433,positive
434,negative
435,negative
436,neutral
437,negative
438,neutral
439,negative
440,neutral
441,negative
442,negative
443,negative
444,negative
445,neutral
446,negative
447,negative
448,negative
449,negative
450,negative
451,negative
452,negative
453,neutral
454,positive
455,negative
456,neutral
457,negative
458,negative
459,negative
460,negative
461,negative
462,negative
463,negative
464,neutral
465,negative
466,negative
467,negative
468,negative
469,neutral
470,negative
471,negative
472,negative
473,negative
474,neutral
475,negative
476,positive
477,neutral
478,neutral
479,positive
480,negative
481,negative
482,neutral
483,positive
484,negative
485,negative
486,neutral
487,neutral
488,negative
489,negative
490,negative
491,positive
492,negative
493,negative
494,negative
495,negative
496,neutral
497,negative
498,negative
499,neutral
500,negative
501,negative
502,negative
503,negative
504,negative
505,neutral
506,negative
507,negative
508,positive
509,negative
510,negative
511,negative
512,negative
513,negative
514,negative
515,negative
516,neutral
517,negative
518,neutral
519,negative
520,negative
521,negative
522,positive
523,negative
524,negative
525,neutral
526,positive
527,negative
528,negative
529,neutral
530,negative
531,negative
532,negative
533,negative
534,neutral
535,negative
536,negative
537,negative
538,positive
539,negative
540,negative
