Id,Prediction
0,positive
1,negative
2,negative
3,neutral
4,negative
5,negative
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,negative
13,negative
14,neutral
15,neutral
16,positive
17,neutral
18,neutral
19,positive
20,neutral
21,neutral
22,neutral
23,positive
24,positive
25,neutral
26,positive
27,negative
28,neutral
29,neutral
30,negative
31,neutral
32,neutral
33,neutral
34,neutral
35,neutral
36,negative
37,neutral
38,neutral
39,negative
40,positive
41,neutral
42,neutral
43,positive
44,negative
45,neutral
46,negative
47,neutral
48,positive
49,positive
50,neutral
51,neutral
52,positive
53,neutral
54,negative
55,negative
56,neutral
57,neutral
58,neutral
59,neutral
60,neutral
61,negative
62,neutral
63,negative
64,positive
65,neutral
66,neutral
67,neutral
68,negative
69,negative
70,positive
71,neutral
72,neutral
73,neutral
74,negative
75,neutral
76,neutral
77,positive
78,positive
79,neutral
80,positive
81,negative
82,neutral
83,neutral
84,positive
85,neutral
86,neutral
87,neutral
88,neutral
89,neutral
90,negative
91,positive
92,negative
93,negative
94,neutral
95,positive
96,positive
97,neutral
98,negative
99,neutral
100,positive
101,neutral
102,neutral
103,neutral
104,negative
105,positive
106,negative
107,neutral
108,negative
109,positive
110,positive
111,positive
112,positive
113,neutral
114,neutral
115,negative
116,neutral
117,neutral
118,positive
119,negative
120,neutral
121,positive
122,neutral
123,neutral
124,neutral
125,neutral
126,negative
127,neutral
128,negative
129,negative
130,neutral
131,neutral
132,neutral
133,positive
134,neutral
135,neutral
136,neutral
137,neutral
138,positive
139,neutral
140,neutral
141,neutral
142,positive
143,neutral
144,positive
145,neutral
146,positive
147,neutral
148,negative
149,neutral
150,neutral
151,positive
152,neutral
153,neutral
154,neutral
155,neutral
156,negative
157,negative
158,negative
159,positive
160,neutral
161,neutral
162,neutral
163,neutral
164,positive
165,neutral
166,neutral
167,neutral
168,positive
169,neutral
170,neutral
171,neutral
172,negative
173,neutral
174,negative
175,neutral
176,positive
177,neutral
178,neutral
179,negative
180,neutral
181,neutral
182,neutral
183,neutral
184,negative
185,neutral
186,neutral
187,neutral
188,neutral
189,positive
190,neutral
191,positive
192,neutral
193,negative
194,neutral
195,positive
196,neutral
197,negative
198,negative
199,positive
200,negative
201,neutral
202,neutral
203,negative
204,neutral
205,neutral
206,neutral
207,negative
208,neutral
209,neutral
210,neutral
211,neutral
212,neutral
213,negative
214,neutral
215,positive
216,positive
217,neutral
218,neutral
219,neutral
220,neutral
221,neutral
222,neutral
223,negative
224,neutral
225,negative
226,neutral
227,negative
228,neutral
229,negative
230,positive
231,neutral
232,neutral
233,negative
234,neutral
235,neutral
236,positive
237,negative
238,neutral
239,neutral
240,neutral
241,neutral
242,negative
243,neutral
244,neutral
245,neutral
246,positive
247,neutral
248,neutral
249,positive
250,negative
251,neutral
252,neutral
253,neutral
254,neutral
255,neutral
256,neutral
257,neutral
258,neutral
259,positive
260,neutral
261,neutral
262,positive
263,positive
264,neutral
265,negative
266,positive
267,neutral
268,negative
269,neutral
270,neutral
271,neutral
272,neutral
273,neutral
274,neutral
275,neutral
276,positive
277,positive
278,neutral
279,neutral
280,neutral
281,positive
282,positive
283,neutral
284,neutral
285,neutral
286,neutral
287,neutral
288,neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,negative
297,neutral
298,neutral
299,negative
300,negative
301,negative
302,negative
303,negative
304,neutral
305,positive
306,neutral
307,neutral
308,neutral
309,neutral
310,negative
311,negative
312,neutral
313,negative
314,neutral
315,positive
316,neutral
317,negative
318,positive
319,neutral
320,neutral
321,positive
322,neutral
323,neutral
324,negative
325,neutral
326,neutral
327,neutral
328,neutral
329,positive
330,negative
331,neutral
332,negative
333,neutral
334,neutral
335,neutral
336,positive
337,negative
338,neutral
339,neutral
340,neutral
341,neutral
342,negative
343,positive
344,neutral
345,neutral
346,negative
347,neutral
348,positive
349,positive
350,negative
351,neutral
352,negative
353,positive
354,positive
355,neutral
356,neutral
357,neutral
358,negative
359,negative
360,neutral
361,neutral
362,neutral
363,negative
364,neutral
365,positive
366,neutral
367,negative
368,neutral
369,neutral
370,neutral
371,neutral
372,neutral
373,neutral
374,neutral
375,negative
376,positive
377,neutral
378,neutral
